Trajectories
100
,,Pre_Test:Rep1,,,Pre_Test:Rep2,,,Pre_Test:Rep3,,,Pre_Test:A1,,,Pre_Test:A2,,,Pre_Test:A3,,,Pre_Test:B1,,,Pre_Test:B2,,,Pre_Test:C1,,,Pre_Test:D1,,,Pre_Test:D2,,,Pre_Test:D3,,,Pre_Test:E1,,,Pre_Test:E2,,,Pre_Test:E3,,,Pre_Test:E4,,,Pre_Test:EF2,,,Pre_Test:EF3,,,Pre_Test:F1,,,Pre_Test:F2,,,Pre_Test:F3,,,Pre_Test:FG2,,,Pre_Test:FG3,,,Pre_Test:G1,,,Pre_Test:G2,,,Pre_Test:G3,,,Pre_Test:GH2,,,Pre_Test:GH3,,,Pre_Test:H1,,,Pre_Test:H2,,,Pre_Test:H3,,,Pre_Test:J1,,,Pre_Test:J2,,,Pre_Test:J3,,,Pre_Test:K1,,,Pre_Test:K2,,,Pre_Test:K3,,,Pre_Test:KL2,,,Pre_Test:KL3,,,Pre_Test:L1,,,Pre_Test:L2,,,Pre_Test:L3,,,Pre_Test:LM2,,,Pre_Test:LM3,,,Pre_Test:M1,,,Pre_Test:M2,,,Pre_Test:M3,,,Pre_Test:MN2,,,Pre_Test:MN3,,,Pre_Test:N1,,,Pre_Test:N2,,,Pre_Test:N3,,,Pre_Test:N4,,,Pre_Test:O1,,,Pre_Test:O2,,,Pre_Test:O3,,,Pre_Test:P1,,,Pre_Test:Q1,,,Pre_Test:Q2,,,Pre_Test:I1,,,Pre_Test:I2,,,Pre_Test:I3,,,Pre_Test:I4,,,Pre_Test:I5,,,Pre_Test:I6,,,Pre_Test:Z1,,,Pre_Test:Z2,,,Pre_Test:Z3,,,Pre_Test:Z4,,,Pre_Test:Z5,,,Pre_Test:Z6,,,Pre_Test:Z7,,,Pre_Test:Z8,,,Pre_Test:Z9,,,Pre_Test:Z10,,,Pre_Test:Z11,,,Pre_Test:Z12,,,Pre_Test:Z13,,,Pre_Test:Z14,,,Pre_Test:Z15,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,21.540451,-43.455971,1330.310913,70.336876,-45.269947,1318.181396,-25.070501,-31.208780,1317.237915,,,,-20.567591,-116.160255,1226.605713,-21.060581,-112.364540,1242.695435,-9.669136,-113.674652,1208.947632,,,,-0.458379,-113.818130,1207.811523,-6.973123,-114.470467,1197.658447,-3.323502,-121.954704,1183.993774,,,,,,,-13.773170,-121.815430,1179.978394,-10.381194,-123.969971,1167.561768,,,,-24.542099,-115.615341,1179.398071,,,,-28.553650,-106.710480,1190.920166,-33.902637,-106.043503,1179.318604,-37.985619,-100.181412,1166.428101,,,,-44.175350,-88.223305,1183.491333,,,,-36.759048,-92.113022,1202.551392,-43.672485,-80.333145,1200.439941,,,,-41.982498,-80.920380,1219.459473,,,,-35.808151,-98.567451,1221.206909,-36.158272,-90.400620,1237.469604,48.378891,-120.515022,1207.936401,45.758453,-127.133148,1231.422974,46.606731,-121.503342,1250.208374,55.287712,-117.339325,1208.230591,67.035324,-111.833488,1224.192139,70.816734,-99.253143,1245.581299,73.010315,-102.371315,1218.342407,78.316994,-91.664413,1227.053223,62.043106,-109.773712,1208.088623,68.889969,-102.575996,1207.970215,79.690887,-92.649025,1207.537964,64.674614,-107.658730,1202.348999,74.479210,-104.197411,1195.763062,57.958775,-113.801407,1198.097656,64.893776,-117.078583,1183.885620,,,,53.116562,-122.051094,1188.032227,,,,42.951443,-120.076675,1195.888306,41.319759,-128.393250,1182.339600,38.489578,-129.210342,1169.499512,,,,41.286327,-120.181900,1208.087524,,,,33.733521,-128.304855,1187.224731,27.974697,-117.397911,1211.847656,,,,22.142044,-129.916885,1229.287109,11.657362,-127.080696,1250.062744,11.957320,-127.663208,1218.341431,9.262063,-155.424713,1183.288452,12.187493,-143.203781,1156.854736,13.262917,-139.279358,1139.638062,15.254239,-134.922852,1115.916504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,21.530365,-43.450821,1330.314697,70.325615,-45.267540,1318.183350,-25.080774,-31.206387,1317.238281,,,,-20.580830,-116.156776,1226.608643,-21.069876,-112.363014,1242.695923,-9.694653,-113.677284,1208.954102,,,,-0.467405,-113.818878,1207.807007,-6.977649,-114.473831,1197.661255,-3.329460,-121.944901,1183.987671,,,,,,,-13.782705,-121.817871,1179.980469,-10.912706,-124.458427,1168.012451,,,,-24.547165,-115.619957,1179.402710,-25.201252,-117.149170,1166.750732,-28.557236,-106.709175,1190.917358,-33.889793,-106.031502,1179.309814,-37.985161,-100.171005,1166.426270,,,,-44.182636,-88.219666,1183.492065,,,,-36.762486,-92.114510,1202.553711,-43.681442,-80.337097,1200.443237,,,,-41.986897,-80.914429,1219.459229,,,,-35.826874,-98.562897,1221.210938,-36.165390,-90.398666,1237.469849,48.398766,-120.514908,1207.955811,45.748638,-127.129494,1231.422363,46.578064,-121.494133,1250.258423,55.294495,-117.341019,1208.242920,67.027176,-111.824715,1224.193115,70.805420,-99.252319,1245.586914,73.003014,-102.367088,1218.343872,78.412994,-91.720345,1227.089966,62.033794,-109.771042,1208.087280,68.879372,-102.571190,1207.973389,79.685905,-92.644676,1207.540405,64.666512,-107.654129,1202.353394,74.464684,-104.192421,1195.760376,57.956421,-113.791931,1198.097290,64.883209,-117.081192,1183.885376,,,,53.110298,-122.044037,1188.033081,,,,42.947418,-120.066643,1195.891846,41.316872,-128.391739,1182.344116,38.479191,-129.194489,1169.495239,,,,41.287106,-120.211189,1208.118042,,,,33.720001,-128.306976,1187.225342,27.951834,-117.400681,1211.844971,,,,22.149073,-129.912857,1229.278442,11.652751,-127.077255,1250.065918,11.953220,-127.659691,1218.347778,9.257941,-155.423874,1183.296875,12.178514,-143.195633,1156.856201,13.262302,-139.274261,1139.641357,15.264141,-134.915253,1115.917603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,21.517712,-43.445431,1330.317627,70.314491,-45.258568,1318.185913,-25.091022,-31.199257,1317.239868,-19.582775,-111.342857,1206.844482,-20.597689,-116.107147,1226.697876,-21.078976,-112.359108,1242.700928,-9.647908,-113.678375,1208.890381,1.260850,-125.292778,1226.596802,-0.469150,-113.403549,1207.852905,-6.981038,-114.682373,1198.351562,-4.356983,-123.466995,1184.995728,-2.870415,-124.026833,1176.520752,-15.282683,-112.600273,1193.372681,-13.775891,-121.831108,1179.984009,-10.921192,-124.459366,1168.017700,,,,-24.553480,-115.616325,1179.407349,-25.205460,-117.147842,1166.754150,-28.567110,-106.708237,1190.922974,-33.911900,-106.038185,1179.321777,-37.988304,-100.170334,1166.423950,,,,-44.191978,-88.215691,1183.493774,-30.429857,-99.991005,1204.241333,-37.166431,-92.212837,1202.682129,-43.693188,-80.339317,1200.444214,,,,-42.000248,-80.915337,1219.463989,,,,-35.833363,-98.560768,1221.219849,-36.179310,-90.395363,1237.472290,48.393169,-120.458801,1207.836426,45.752243,-127.143723,1231.384888,46.583328,-121.486679,1250.227783,55.230709,-117.344238,1208.191162,66.972176,-111.770470,1224.237183,70.792450,-99.248871,1245.595459,72.830505,-102.374161,1218.162476,78.298378,-91.662415,1227.054688,62.096775,-109.742462,1208.319214,68.858940,-102.573135,1207.973633,79.713333,-92.458237,1207.996216,64.653633,-107.656181,1202.355469,74.449821,-104.195160,1195.768921,57.939766,-113.802788,1198.102295,64.882851,-117.074493,1183.897217,,,,53.040993,-122.029694,1188.026855,53.848679,-125.605064,1175.227295,42.932674,-120.055283,1195.902344,41.333393,-128.383057,1182.333984,38.510899,-129.172272,1169.870239,,,,41.281643,-120.219673,1208.144531,36.164818,-118.807693,1201.218872,33.712196,-128.303131,1187.236084,27.983040,-117.431702,1211.852295,,,,22.136816,-129.979446,1229.290649,11.641920,-127.072693,1250.072144,12.051246,-127.681267,1218.230103,9.345268,-155.684067,1183.315430,12.192371,-143.274841,1156.834351,13.249625,-139.270264,1139.645020,15.238556,-134.922302,1115.927246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,21.503859,-43.433510,1330.321045,70.301010,-45.249882,1318.191040,-25.107721,-31.192587,1317.241943,-19.587788,-111.336227,1206.844604,-20.611025,-116.109123,1226.708130,-21.090364,-112.354568,1242.704590,-9.657784,-113.678482,1208.894043,1.249539,-125.283730,1226.603760,-0.477810,-113.401894,1207.865845,-6.989730,-114.672951,1198.357422,-4.369569,-123.464241,1185.002441,-2.875668,-124.017220,1176.527344,-15.290504,-112.599716,1193.379395,-13.783659,-121.826340,1179.991821,-10.925711,-124.457443,1168.021729,,,,-24.567703,-115.616768,1179.413330,-25.213461,-117.145164,1166.762939,-28.564835,-106.702248,1190.925537,-33.921684,-106.039558,1179.325562,-38.000603,-100.167313,1166.432617,,,,-44.199696,-88.222382,1183.499146,-30.424324,-99.993454,1204.238647,-37.183743,-92.214592,1202.685059,-43.701057,-80.336479,1200.451660,,,,-42.010643,-80.913361,1219.463013,,,,-35.841087,-98.559486,1221.215576,-36.183968,-90.392616,1237.476807,48.376312,-120.440575,1207.834229,45.737648,-127.139137,1231.391357,46.568562,-121.476379,1250.250732,55.222431,-117.334801,1208.196777,66.965042,-111.760490,1224.240356,70.785751,-99.241470,1245.602173,72.808556,-102.371536,1218.168579,78.290474,-91.656898,1227.068359,62.084461,-109.742989,1208.324341,68.844719,-102.571411,1207.985596,79.693810,-92.455116,1208.005493,64.643982,-107.656876,1202.367065,74.440125,-104.191650,1195.778320,57.927032,-113.794945,1198.111084,64.858795,-117.081238,1183.905029,,,,53.023689,-122.029312,1188.041382,53.840763,-125.602081,1175.243896,42.913540,-120.059601,1195.912964,41.320278,-128.383606,1182.341797,38.499847,-129.174789,1169.879395,,,,41.265892,-120.204163,1208.134033,36.137447,-118.796188,1201.233521,33.701267,-128.312546,1187.242920,27.949034,-117.419998,1211.854614,,,,22.130157,-129.972382,1229.296387,11.631092,-127.065193,1250.075806,12.042855,-127.679214,1218.237305,9.332288,-155.683945,1183.319580,12.187761,-143.275055,1156.843750,13.245555,-139.261475,1139.652588,15.225214,-134.929535,1115.938477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,21.424389,-43.155087,1330.280640,70.285263,-45.240669,1318.196777,-25.123306,-31.179619,1317.249634,-19.592283,-111.338364,1206.827271,-20.618505,-116.104286,1226.716431,-21.100052,-112.353065,1242.715088,-9.657613,-113.681870,1208.882324,1.235259,-125.279549,1226.615112,-0.495730,-113.401779,1207.858398,-6.994169,-114.669891,1198.353027,-4.374944,-123.463654,1185.010498,-2.879860,-124.018150,1176.530884,-15.295162,-112.599632,1193.387573,-13.793753,-121.826828,1180.000610,-10.921771,-124.453705,1168.024414,,,,-24.592409,-115.583191,1179.502563,-25.222893,-117.151909,1166.761475,-28.574480,-106.701515,1190.937256,-33.925354,-106.035667,1179.330933,-38.015968,-100.173080,1166.433838,,,,-44.203720,-88.217407,1183.506958,-30.034191,-99.854057,1204.200562,-36.798344,-92.108322,1202.561157,-43.713081,-80.333855,1200.457520,,,,-42.017582,-80.910690,1219.469604,,,,-35.847149,-98.557213,1221.217041,-36.196854,-90.386116,1237.480225,48.428310,-120.339149,1207.927856,45.731960,-127.129990,1231.405151,46.555992,-121.476677,1250.291870,55.209476,-117.324677,1208.189209,66.951576,-111.754402,1224.250854,70.766296,-99.235374,1245.613159,72.811714,-102.359528,1218.184570,78.376099,-91.702110,1227.115234,62.065308,-109.732430,1208.327881,68.835999,-102.571884,1207.992065,79.683693,-92.453560,1208.005615,64.625595,-107.647728,1202.375732,74.436394,-104.183022,1195.794678,57.920788,-113.785339,1198.124023,64.850037,-117.080215,1183.916016,,,,53.057331,-122.029442,1188.087646,53.846401,-125.600281,1175.261963,42.906048,-120.047302,1195.927002,41.336071,-128.389877,1182.336182,38.490051,-129.169418,1169.884644,,,,41.246655,-120.178719,1208.118286,36.147606,-118.800140,1201.215820,33.686745,-128.306793,1187.237183,27.952728,-117.427544,1211.854736,,,,22.119604,-129.969131,1229.302002,11.617879,-127.062607,1250.085938,12.023270,-127.669853,1218.245728,9.239639,-155.427490,1183.310303,12.178881,-143.273483,1156.849609,13.232462,-139.256439,1139.665161,15.220782,-134.923172,1115.953003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,21.463463,-43.387966,1330.325562,70.268112,-45.230621,1318.201294,-25.140472,-31.167303,1317.252441,-19.606922,-111.340393,1206.818115,-20.632744,-116.095764,1226.726562,-21.113317,-112.344391,1242.719727,-9.665321,-113.678352,1208.873169,1.223339,-125.277641,1226.615967,-0.504061,-113.389328,1207.860107,-7.013711,-114.662056,1198.346436,-4.391137,-123.462662,1185.017578,-2.895971,-124.017830,1176.537109,-15.311739,-112.589851,1193.393433,-13.806479,-121.822845,1180.006714,-10.932027,-124.448135,1168.031006,,,,-24.606445,-115.581985,1179.508301,-25.236580,-117.144936,1166.765015,-28.588985,-106.693504,1190.943115,-33.940914,-106.031700,1179.336670,-38.023788,-100.169029,1166.440552,,,,-44.217922,-88.213722,1183.510620,-30.052769,-99.848442,1204.202637,-36.818607,-92.100349,1202.568115,-43.725742,-80.328712,1200.458984,,,,-42.021965,-80.899567,1219.470459,,,,-35.870129,-98.556084,1221.226562,-36.209007,-90.379654,1237.482666,48.413754,-120.344482,1207.937134,45.717094,-127.124741,1231.410400,46.550198,-121.471458,1250.306396,55.203377,-117.319153,1208.203491,66.940659,-111.757683,1224.253540,70.754181,-99.228859,1245.620361,72.803444,-102.353477,1218.201294,78.362198,-91.689339,1227.120605,62.054005,-109.717278,1208.330811,68.818245,-102.564537,1208.002075,79.662498,-92.449181,1208.002808,64.610397,-107.644325,1202.377563,74.422935,-104.175461,1195.806519,57.894760,-113.785919,1198.128052,64.826897,-117.068108,1183.932007,,,,53.044212,-122.022514,1188.105957,53.834526,-125.592873,1175.285034,42.887566,-120.040581,1195.937500,41.322308,-128.382553,1182.343750,38.478081,-129.164246,1169.895996,,,,41.237717,-120.190414,1208.129883,36.119961,-118.777321,1201.238525,33.675316,-128.304794,1187.240723,27.935625,-117.417374,1211.853271,,,,22.111067,-129.956650,1229.301025,11.605492,-127.054276,1250.092163,12.019037,-127.665863,1218.249268,9.236976,-155.426422,1183.321533,12.174225,-143.271790,1156.860229,13.216987,-139.252487,1139.674927,15.210011,-134.920441,1115.959839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,21.439049,-43.367256,1330.323608,70.249969,-45.224892,1318.204224,-25.158981,-31.156637,1317.256714,-19.629648,-111.322166,1206.820068,-20.644976,-116.078209,1226.732300,-21.123001,-112.336609,1242.709717,-9.689874,-113.616417,1208.807129,1.206017,-125.270653,1226.610718,-0.514508,-113.371658,1207.846802,-7.029458,-114.653419,1198.339844,-4.401554,-123.450531,1185.013794,-2.910580,-124.014145,1176.541260,-15.327013,-112.568619,1193.391479,-13.819176,-121.814499,1180.010254,-10.943953,-124.444145,1168.026978,,,,-24.626680,-115.572388,1179.512695,-25.251587,-117.145752,1166.769531,-28.610746,-106.686394,1190.944336,-33.972340,-106.030144,1179.343262,-38.038174,-100.161865,1166.439209,,,,-44.234013,-88.198799,1183.507935,-30.083841,-99.842842,1204.196899,-36.839481,-92.088905,1202.573853,-43.743755,-80.318184,1200.459473,,,,-42.038433,-80.885345,1219.471558,,,,-35.893520,-98.549088,1221.229492,-36.227177,-90.369934,1237.481079,48.352760,-120.411507,1207.841919,45.706223,-127.114655,1231.419189,46.531979,-121.458633,1250.307129,55.192501,-117.312691,1208.202881,66.915405,-111.745956,1224.265015,70.741463,-99.216621,1245.627686,72.793549,-102.345467,1218.210449,78.342651,-91.681580,1227.130127,62.039909,-109.714439,1208.335693,68.811104,-102.559288,1208.008057,79.647522,-92.436951,1208.011475,64.594772,-107.638527,1202.377319,74.415451,-104.164879,1195.815063,57.881714,-113.779388,1198.135742,64.816895,-117.057831,1183.937744,,,,52.993279,-122.007195,1188.077271,53.811325,-125.585449,1175.288208,42.864887,-120.031319,1195.952026,41.267567,-128.370087,1182.354248,38.459103,-129.157410,1169.904297,,,,41.226635,-120.182030,1208.125977,36.100990,-118.770927,1201.238281,33.677814,-128.297485,1187.250366,27.921286,-117.401451,1211.848999,,,,22.091194,-129.951355,1229.306519,11.585611,-127.043037,1250.090942,12.029031,-127.676727,1218.231689,9.308280,-155.663879,1183.338867,12.169734,-143.264252,1156.865967,13.212239,-139.245270,1139.679688,15.194389,-134.925018,1115.972290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,21.421204,-43.345577,1330.319702,70.234169,-45.217365,1318.200806,-25.177141,-31.145041,1317.253052,-19.675236,-111.311203,1206.842041,-20.668758,-116.060905,1226.734009,-21.145887,-112.324661,1242.708130,-9.731639,-113.625763,1208.825439,1.196568,-125.272751,1226.595093,-0.523524,-113.375427,1207.840698,-7.042306,-114.649757,1198.332275,-4.417536,-123.442749,1185.016602,-2.917909,-123.998802,1176.542969,-15.353957,-112.563164,1193.395996,-13.835272,-121.802673,1180.008545,-10.959899,-124.430939,1168.026978,,,,-24.642479,-115.554214,1179.514038,-25.261890,-117.130867,1166.763062,-28.625298,-106.669106,1190.941650,-33.984272,-106.009293,1179.335571,-38.053123,-100.150978,1166.434570,,,,-44.248158,-88.184395,1183.496704,-30.500467,-99.935333,1204.226074,-37.265701,-92.164070,1202.703613,-43.773888,-80.305946,1200.451660,,,,-42.049442,-80.863663,1219.472534,,,,-35.929195,-98.535019,1221.243896,-36.243637,-90.357643,1237.479980,48.368401,-120.408737,1207.867188,45.691006,-127.107964,1231.428345,46.519890,-121.453018,1250.310913,55.198483,-117.300613,1208.217163,66.914680,-111.738365,1224.271851,70.726791,-99.208717,1245.630371,72.787430,-102.334198,1218.216797,78.330841,-91.670731,1227.139160,62.044395,-109.697678,1208.365601,68.803322,-102.544350,1208.011719,79.636833,-92.430260,1208.014282,64.587914,-107.623367,1202.385376,74.395554,-104.163490,1195.817139,57.883511,-113.766083,1198.143799,64.793457,-117.050072,1183.945801,,,,53.027710,-122.008751,1188.113403,53.816113,-125.582695,1175.297607,42.856888,-120.023155,1195.944092,41.283596,-128.373901,1182.346069,38.446041,-129.154999,1169.901001,,,,41.236115,-120.212570,1208.162354,36.091663,-118.761421,1201.234741,33.651035,-128.296341,1187.241821,27.907478,-117.407501,1211.848511,,,,22.072138,-129.953384,1229.311035,11.563900,-127.036285,1250.097168,12.004167,-127.669693,1218.242676,9.213010,-155.431900,1183.321655,12.157096,-143.260239,1156.867188,13.191572,-139.234009,1139.684204,15.188140,-134.911224,1115.977539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,21.398548,-43.323586,1330.316528,70.215324,-45.207844,1318.198975,-25.194273,-31.128643,1317.251709,-19.718197,-111.326637,1206.880493,-20.685101,-116.044113,1226.732422,-21.169291,-112.314201,1242.710693,-9.765596,-113.635262,1208.851685,1.168841,-125.250626,1226.610962,-0.566268,-113.401382,1207.857788,-7.058057,-114.644012,1198.327026,-4.438047,-123.435364,1185.011841,-2.935028,-123.998512,1176.539062,-15.376522,-112.546135,1193.390381,-13.856979,-121.789169,1180.010742,-10.977492,-124.416206,1168.023315,,,,-24.660427,-115.544502,1179.508789,-25.277462,-117.121094,1166.754028,-28.655499,-106.661308,1190.941650,-33.999249,-105.985878,1179.332275,-38.070133,-100.137009,1166.431763,,,,-44.264713,-88.172691,1183.489868,-30.501314,-99.918877,1204.220215,-37.272507,-92.148460,1202.695679,-43.782894,-80.290253,1200.445068,,,,-42.071190,-80.852310,1219.466064,,,,-35.961128,-98.515800,1221.240356,-36.263451,-90.346848,1237.481567,48.394501,-120.417480,1207.937500,45.678837,-127.101898,1231.435791,46.536732,-121.445068,1250.309204,55.202061,-117.292007,1208.273193,66.901276,-111.725395,1224.279907,70.709206,-99.202957,1245.634766,72.768318,-102.321571,1218.222656,78.311234,-91.657600,1227.144531,62.042805,-109.689438,1208.395752,68.803665,-102.531448,1208.015503,79.630959,-92.414986,1208.018677,64.578178,-107.612602,1202.387451,74.389328,-104.146713,1195.821777,57.882542,-113.754562,1198.144653,64.790588,-117.036133,1183.944092,,,,53.022591,-122.004517,1188.109497,53.806778,-125.576836,1175.291138,42.855034,-119.998589,1195.940674,41.268299,-128.364655,1182.340088,38.429478,-129.135208,1169.903076,,,,41.247566,-120.260002,1208.224487,36.156418,-118.755005,1201.145142,33.653255,-128.294479,1187.229980,27.868986,-117.378922,1211.879028,,,,22.058725,-129.948502,1229.308838,11.544800,-127.029243,1250.097900,12.005720,-127.672478,1218.224121,9.201923,-155.412186,1183.325073,12.150082,-143.257721,1156.873291,13.175606,-139.232498,1139.686401,15.175180,-134.910065,1115.982300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
