Trajectories
120
,,Pre_Test:Rep1,,,Pre_Test:Rep2,,,Pre_Test:Rep3,,,Pre_Test:A1,,,Pre_Test:A2,,,Pre_Test:A3,,,Pre_Test:B1,,,Pre_Test:B2,,,Pre_Test:C1,,,Pre_Test:D1,,,Pre_Test:D2,,,Pre_Test:D3,,,Pre_Test:E1,,,Pre_Test:E2,,,Pre_Test:E3,,,Pre_Test:E4,,,Pre_Test:EF2,,,Pre_Test:EF3,,,Pre_Test:F1,,,Pre_Test:F2,,,Pre_Test:F3,,,Pre_Test:FG2,,,Pre_Test:FG3,,,Pre_Test:G1,,,Pre_Test:G2,,,Pre_Test:G3,,,Pre_Test:GH2,,,Pre_Test:GH3,,,Pre_Test:H1,,,Pre_Test:H2,,,Pre_Test:H3,,,Pre_Test:J1,,,Pre_Test:J2,,,Pre_Test:J3,,,Pre_Test:K1,,,Pre_Test:K2,,,Pre_Test:K3,,,Pre_Test:KL2,,,Pre_Test:KL3,,,Pre_Test:L1,,,Pre_Test:L2,,,Pre_Test:L3,,,Pre_Test:LM2,,,Pre_Test:LM3,,,Pre_Test:M1,,,Pre_Test:M2,,,Pre_Test:M3,,,Pre_Test:MN2,,,Pre_Test:MN3,,,Pre_Test:N1,,,Pre_Test:N2,,,Pre_Test:N3,,,Pre_Test:N4,,,Pre_Test:O1,,,Pre_Test:O2,,,Pre_Test:O3,,,Pre_Test:P1,,,Pre_Test:Q1,,,Pre_Test:Q2,,,Pre_Test:I1,,,Pre_Test:I2,,,Pre_Test:I3,,,Pre_Test:I4,,,Pre_Test:I5,,,Pre_Test:I6,,,Pre_Test:Z1,,,Pre_Test:Z2,,,Pre_Test:Z3,,,Pre_Test:Z4,,,Pre_Test:Z5,,,Pre_Test:Z6,,,Pre_Test:Z7,,,Pre_Test:Z8,,,Pre_Test:Z9,,,Pre_Test:Z10,,,Pre_Test:Z11,,,Pre_Test:Z12,,,Pre_Test:Z13,,,Pre_Test:Z14,,,Pre_Test:Z15,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,24.175360,-60.746254,1342.425171,73.554970,-61.881390,1332.993896,-22.281080,-50.463280,1326.597046,,,,-11.678127,-142.271652,1235.929932,-12.289093,-136.473068,1252.033569,,,,11.825402,-150.683792,1235.430054,11.197496,-136.893265,1220.042969,,,,3.334446,-146.438538,1196.600830,,,,,,,-7.212587,-143.122681,1192.431030,-3.694229,-146.962585,1179.835327,-6.466910,-140.707291,1153.266846,-17.719719,-136.836761,1191.720581,-19.559729,-138.425552,1181.227905,,,,-28.347824,-125.431435,1192.284668,-32.923428,-118.867264,1180.770142,-31.969496,-117.798256,1204.710571,-37.655621,-107.115852,1198.144409,,,,,,,-37.318356,-99.438721,1214.192017,,,,-34.825191,-103.166595,1233.144775,,,,,,,-27.806618,-114.930214,1249.658813,,,,55.608524,-149.793549,1238.945557,55.821991,-144.820358,1257.723511,,,,,,,80.699379,-119.836510,1252.841431,83.302711,-121.673866,1226.973389,87.603241,-111.710625,1235.102783,,,,85.472336,-118.290077,1217.397339,,,,76.817924,-126.646355,1213.375732,86.390335,-121.725380,1207.477539,69.518486,-133.057877,1208.932739,76.945496,-135.233276,1194.770752,82.957108,-131.206223,1184.866455,65.187576,-141.321915,1200.392578,66.380043,-145.833862,1187.041260,,,,53.004993,-149.533188,1194.208496,51.487251,-152.101364,1180.358398,52.569439,-147.860718,1155.445190,,,,46.126865,-149.447205,1198.112305,,,,,,,,,,31.832762,-152.367615,1236.359863,22.158056,-151.347778,1258.566040,22.365479,-151.652176,1229.115112,20.260584,-178.737366,1191.383301,21.470959,-164.495499,1166.667725,22.224699,-161.434052,1149.381470,23.878088,-156.910187,1127.589844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,24.180340,-60.778805,1342.427246,73.560776,-61.911102,1332.998291,-22.287169,-50.509319,1326.597412,,,,-11.611350,-142.232620,1235.921143,-12.277702,-136.497406,1252.030518,,,,11.832797,-150.697067,1235.421631,11.190901,-136.969681,1219.928955,,,,3.348439,-146.455612,1196.590332,,,,,,,-7.200062,-143.142609,1192.423218,-3.682307,-146.986435,1179.829712,-6.450850,-140.720016,1153.251831,-17.685297,-136.861603,1191.687012,-19.541809,-138.437668,1181.219849,,,,-28.336386,-125.451385,1192.273315,-32.912548,-118.897697,1180.763062,-31.958361,-117.817848,1204.705933,-37.640614,-107.138725,1198.138062,,,,,,,-37.393940,-99.587990,1214.300293,,,,-34.879395,-103.213516,1233.215332,,,,,,,-27.804985,-114.962013,1249.655884,,,,55.622631,-149.813812,1238.937866,55.834328,-144.847153,1257.722778,,,,,,,80.715630,-119.859619,1252.828125,83.318268,-121.691994,1226.979004,87.611374,-111.726768,1235.102173,,,,85.491470,-118.306511,1217.402344,,,,76.835670,-126.667473,1213.382446,86.398438,-121.740479,1207.480957,69.544945,-133.061508,1209.004761,76.956627,-135.252716,1194.776978,82.978325,-131.231064,1184.865967,65.192520,-141.340317,1200.395630,66.390656,-145.842941,1187.040771,,,,53.018929,-149.548309,1194.212280,51.491211,-152.114685,1180.357178,52.581711,-147.871185,1155.441895,,,,46.132408,-149.467636,1198.112915,,,,,,,,,,31.843287,-152.385361,1236.353516,22.169861,-151.371506,1258.561768,22.381140,-151.671555,1229.109497,20.276720,-178.755890,1191.374634,21.487476,-164.509323,1166.659790,22.236069,-161.449783,1149.373291,23.903156,-156.919083,1127.583496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,24.189619,-60.814632,1342.430908,73.568352,-61.942234,1333.002808,-22.282288,-50.546768,1326.600952,-10.991227,-136.251404,1216.614136,-11.664414,-142.328308,1235.919189,-12.267887,-136.528732,1252.022827,,,,11.846325,-150.726868,1235.420410,11.205779,-136.992889,1219.921631,,,,3.397842,-146.452652,1196.558228,,,,,,,-7.167787,-143.160583,1192.403442,-3.712218,-146.967392,1179.903687,-6.435796,-140.736389,1153.242432,-17.681372,-136.886337,1191.692017,-19.507252,-138.508881,1181.128784,-21.820637,-126.256599,1204.445679,-28.327269,-125.475319,1192.270996,-32.900394,-118.916550,1180.758789,-31.259090,-116.868042,1204.665649,-37.630161,-107.169243,1198.140137,,,,,,,-37.403725,-99.448563,1214.196533,,,,-34.875584,-103.244637,1233.249512,-17.632046,-130.232010,1216.837158,,,,-27.782351,-114.990761,1249.646484,55.598293,-144.710678,1218.797852,55.643196,-149.835968,1238.935181,55.846863,-144.872452,1257.715088,64.726868,-139.751495,1218.327026,,,,80.727867,-119.871689,1252.834961,83.343765,-121.739952,1226.977417,87.685127,-111.798714,1235.142456,72.778221,-129.306183,1217.364380,85.559685,-118.300346,1217.541992,91.394875,-108.363899,1219.082153,76.847023,-126.682533,1213.381470,86.408775,-121.754738,1207.483154,69.606300,-133.078796,1209.201538,76.997086,-135.273056,1194.783081,83.010101,-131.253464,1184.861328,65.178688,-141.341843,1200.393433,66.391388,-145.879593,1187.017212,54.565750,-139.805237,1208.241333,53.030231,-149.571045,1194.205322,51.504280,-152.134750,1180.351929,52.597572,-147.877335,1155.440186,46.013008,-141.394943,1209.557007,46.143154,-149.486816,1198.105713,,,,,,,,,,31.853237,-152.409485,1236.345093,22.185444,-151.398132,1258.548584,22.395067,-151.701920,1229.099976,20.273260,-178.776474,1191.364136,21.500547,-164.527771,1166.647461,22.248398,-161.462753,1149.367554,23.910433,-156.896118,1127.612915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,24.199333,-60.854256,1342.432983,73.577065,-61.976536,1333.002563,-22.278427,-50.593090,1326.605591,-11.009629,-136.827942,1216.475464,-11.630393,-142.328720,1235.897217,-12.252992,-136.554016,1252.013184,,,,11.862207,-150.740158,1235.408813,11.215781,-137.013153,1219.917236,,,,3.414138,-146.459473,1196.545044,,,,-5.728599,-134.109146,1206.356201,-7.155789,-143.172562,1192.399414,-3.700165,-146.986435,1179.895874,-6.427567,-140.754196,1153.235962,-17.671316,-136.905121,1191.690186,-19.492973,-138.525528,1181.118164,-21.822443,-126.505585,1204.216064,-28.313194,-125.491249,1192.267578,-32.888851,-118.938622,1180.757935,-31.245031,-116.887634,1204.659424,-37.617050,-107.190376,1198.138916,,,,,,,-37.358295,-99.322968,1214.598633,,,,-34.851875,-103.262932,1233.211670,-17.625856,-130.250412,1216.836548,,,,-27.776365,-115.016533,1249.643311,55.613449,-144.747467,1218.788330,55.658092,-149.833130,1238.960083,55.864532,-144.894379,1257.705933,64.743843,-139.771606,1218.320801,,,,80.736183,-119.888756,1252.812134,83.404922,-121.779274,1226.976196,87.681892,-111.816444,1235.121094,72.946648,-129.216324,1217.659790,85.572174,-118.318954,1217.544922,91.361320,-108.378250,1219.055542,76.851868,-126.704483,1213.367920,86.412399,-121.770981,1207.481201,69.609261,-133.097672,1209.195435,77.005936,-135.292160,1194.779419,83.005669,-131.270859,1184.864136,65.199913,-141.353821,1200.382324,66.404633,-145.887436,1187.006348,54.576519,-139.816101,1208.228394,53.039986,-149.587479,1194.196533,51.520336,-152.145905,1180.344604,52.583012,-147.891006,1155.436035,46.271358,-141.661636,1209.477783,46.158863,-149.507111,1198.095459,,,,,,,,,,31.870197,-152.427948,1236.331299,22.197296,-151.424591,1258.535889,22.401241,-151.723770,1229.092407,20.285147,-178.791580,1191.352539,21.516768,-164.542480,1166.632935,22.263941,-161.479553,1149.356323,23.914909,-156.903717,1127.601318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,24.212122,-60.896629,1342.437256,73.591911,-62.016628,1333.003418,-22.271635,-50.636909,1326.615723,-10.986881,-136.294449,1216.605835,-11.629879,-142.368469,1235.882080,-12.236169,-136.577560,1252.001099,,,,11.874887,-150.767334,1235.390259,11.222413,-137.033630,1219.897339,,,,3.425869,-146.469437,1196.526367,,,,-5.709935,-134.127869,1206.351074,-7.140144,-143.187531,1192.390381,-3.687567,-147.002640,1179.885986,-6.411360,-140.761536,1153.228394,-17.677118,-136.938538,1191.691528,-19.482016,-138.545212,1181.109131,-21.797993,-126.290977,1204.438110,-28.302912,-125.507919,1192.273438,-32.877750,-118.953728,1180.757690,-31.221790,-116.887878,1204.651855,-37.600338,-107.200500,1198.138062,,,,,,,-37.343719,-99.345657,1214.585938,,,,-34.856606,-103.289124,1233.244507,-17.605923,-130.270935,1216.828247,,,,-27.764605,-115.046371,1249.640015,55.636391,-144.764603,1218.785278,55.678581,-149.865891,1238.910278,55.874340,-144.918289,1257.686523,64.761566,-139.780380,1218.313721,,,,80.751442,-119.932846,1252.818848,83.423866,-121.793671,1226.968140,87.693184,-111.833664,1235.111694,72.964470,-129.227859,1217.646851,85.597046,-118.334274,1217.533936,91.369545,-108.392197,1219.047119,76.865250,-126.716461,1213.367310,86.429276,-121.784187,1207.469604,69.633560,-133.118301,1209.178955,77.023796,-135.299576,1194.768188,83.013817,-131.277939,1184.847900,65.207283,-141.367920,1200.375977,66.418404,-145.891052,1186.989624,54.600670,-139.851669,1208.218872,53.057228,-149.604736,1194.184082,51.538948,-152.154205,1180.329224,52.634583,-147.897903,1155.407837,46.289959,-141.665268,1209.426025,46.166302,-149.526947,1198.077759,,,,37.054142,-140.056046,1221.347656,46.271339,-141.470047,1220.868286,31.880117,-152.455093,1236.320312,22.214514,-151.442413,1258.524170,22.420343,-151.743439,1229.077881,20.304869,-178.800247,1191.330933,21.511578,-164.558044,1166.615723,22.281542,-161.487350,1149.345459,23.926577,-156.909363,1127.586182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,24.227066,-60.941559,1342.437866,73.604263,-62.056427,1333.004272,-22.270494,-50.688030,1326.623779,-10.965844,-136.340866,1216.595825,-11.593490,-142.368256,1235.857666,-12.218493,-136.604843,1251.985107,,,,11.903103,-150.808151,1235.362305,11.218729,-137.066742,1219.869629,,,,3.440965,-146.493759,1196.528931,,,,-5.690068,-134.153839,1206.338989,-7.120827,-143.202545,1192.383911,-3.668220,-147.011841,1179.873535,-6.399085,-140.768860,1153.216919,-17.647604,-136.939560,1191.681274,-19.464439,-138.554657,1181.092896,-21.784824,-126.323090,1204.420166,-28.292522,-125.524284,1192.268433,-32.867184,-118.970520,1180.757080,-31.195169,-116.899055,1204.642334,-37.588299,-107.224907,1198.137085,,,,,,,-37.334785,-99.380493,1214.566650,,,,-34.831921,-103.310989,1233.201294,-17.583134,-130.310532,1216.807251,,,,-27.749941,-115.073288,1249.624023,55.659649,-144.768204,1218.753662,55.694908,-149.879593,1238.890503,55.889538,-144.935333,1257.664795,64.782944,-139.797958,1218.312012,,,,80.769936,-119.931702,1252.816650,83.440247,-121.810524,1226.953735,87.706909,-111.849274,1235.102539,72.969795,-129.246536,1217.629395,85.618729,-118.346680,1217.552734,91.402023,-108.407738,1219.082153,76.880829,-126.728996,1213.350098,86.450691,-121.792747,1207.454712,69.648918,-133.132889,1209.155273,77.041405,-135.306778,1194.754517,83.046654,-131.296936,1184.811646,65.224480,-141.382767,1200.358154,66.432388,-145.907471,1186.973389,54.611580,-139.876480,1208.205322,53.075386,-149.607986,1194.169067,51.547638,-152.163483,1180.309326,52.612621,-147.905823,1155.388794,46.302231,-141.668869,1209.425537,46.191105,-149.532593,1198.065186,,,,37.072155,-140.091782,1221.335571,46.281517,-141.482849,1220.846069,31.898994,-152.470642,1236.302124,22.234957,-151.471146,1258.499878,22.426189,-151.755859,1229.059814,20.305511,-178.802948,1191.307861,21.538998,-164.559341,1166.599854,22.477985,-161.486526,1149.219360,23.942749,-156.912186,1127.567749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,24.241264,-60.985676,1342.438721,73.617775,-62.099319,1333.003906,-22.275764,-50.748989,1326.625122,-10.956507,-136.364960,1216.572998,-11.587209,-142.393936,1235.838867,-12.196014,-136.630554,1251.965820,,,,11.928885,-150.814178,1235.347168,11.223860,-137.088516,1219.848633,,,,3.455382,-146.500900,1196.502930,,,,-5.672019,-134.166092,1206.312866,-7.108540,-143.215240,1192.368408,-3.657867,-147.026291,1179.854736,-6.384943,-140.776535,1153.198853,-17.617327,-136.931030,1191.672485,-19.449324,-138.565201,1181.072754,-21.767544,-126.340759,1204.401611,-28.276329,-125.538979,1192.257812,-32.849033,-118.980743,1180.745728,-31.176395,-116.919281,1204.627930,-37.568420,-107.242455,1198.127319,,,,,,,-37.318100,-99.402550,1214.558472,,,,-34.840347,-103.352997,1233.231445,-17.563414,-130.315994,1216.786743,,,,-27.734953,-115.095734,1249.607056,55.670334,-144.807617,1218.744629,55.703831,-149.902023,1238.873535,55.902161,-144.963852,1257.646973,64.788689,-139.822922,1218.290161,,,,80.792572,-119.952682,1252.792603,83.454575,-121.832573,1226.938232,87.718040,-111.872658,1235.090942,72.974983,-129.272064,1217.616577,85.632355,-118.365585,1217.525146,91.388275,-108.429665,1219.020508,76.891159,-126.753075,1213.340576,86.457603,-121.813110,1207.445923,69.654442,-133.157440,1209.142578,77.050903,-135.319519,1194.742920,83.051826,-131.287003,1184.786499,65.236618,-141.385025,1200.339233,66.441132,-145.911224,1186.952271,54.612865,-139.896545,1208.187134,53.085407,-149.622635,1194.161255,51.554424,-152.173752,1180.284668,52.632645,-147.907211,1155.365845,46.303497,-141.687073,1209.412476,46.199951,-149.549698,1198.050781,,,,37.097828,-140.109680,1221.318481,46.294304,-141.500458,1220.833740,31.912029,-152.482407,1236.286133,22.253489,-151.493988,1258.480469,22.441118,-151.777542,1229.050537,20.324066,-178.812653,1191.272705,21.550854,-164.567978,1166.573242,22.487074,-161.478104,1149.212280,23.951731,-156.913116,1127.545410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,24.256115,-61.032078,1342.439209,73.631035,-62.142643,1333.001831,-22.280163,-50.806305,1326.630615,-10.945683,-136.383606,1216.553711,-11.567870,-142.413803,1235.814941,-12.184795,-136.659592,1251.950562,,,,11.923686,-150.838821,1235.332397,11.220334,-137.102478,1219.818359,,,,3.463099,-146.523438,1196.489502,,,,-5.660542,-134.177383,1206.300415,-7.096194,-143.227158,1192.347900,-3.647631,-147.033325,1179.834351,-6.366002,-140.774780,1153.178711,-17.618525,-136.969421,1191.647339,-19.434534,-138.574036,1181.051880,-21.751125,-126.349449,1204.385010,-28.262714,-125.552284,1192.241333,-32.837547,-118.992805,1180.731567,-31.150936,-116.910851,1204.603516,-37.552757,-107.249146,1198.113525,,,,,,,-37.301571,-99.424835,1214.544678,,,,-34.809647,-103.354973,1233.179688,-17.545998,-130.323807,1216.773926,,,,-27.725683,-115.122627,1249.595215,55.678528,-144.831604,1218.726440,55.720577,-149.919220,1238.858276,55.913250,-144.986328,1257.623047,64.798340,-139.827972,1218.276367,,,,80.817406,-120.008842,1252.761719,83.466805,-121.852982,1226.930664,87.735039,-111.891617,1235.084351,73.000336,-129.283005,1217.611694,85.656563,-118.388130,1217.531128,91.416817,-108.444107,1219.055054,76.897331,-126.767593,1213.324829,86.462898,-121.832184,1207.429199,69.672157,-133.174149,1209.127197,77.054695,-135.330978,1194.726318,83.036957,-131.310486,1184.794678,65.227974,-141.409927,1200.323120,66.455849,-145.944077,1186.890259,54.618763,-139.921722,1208.167847,53.101074,-149.634415,1194.148071,51.562576,-152.177490,1180.269409,52.642277,-147.908264,1155.348145,46.320007,-141.705093,1209.398438,46.207333,-149.565521,1198.030762,,,,37.115658,-140.139664,1221.310913,46.298416,-141.507248,1220.821533,31.928755,-152.498550,1236.269409,22.255384,-151.521683,1258.461182,22.455349,-151.797928,1229.037720,20.333120,-178.827118,1191.249268,21.553988,-164.568176,1166.551514,22.484459,-161.488831,1149.197266,23.966728,-156.912033,1127.533569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,24.271296,-61.075989,1342.440308,73.647591,-62.185997,1333.000488,-22.272245,-50.850075,1326.632202,-10.932322,-136.391785,1216.541870,-11.547271,-142.432709,1235.796753,-12.165448,-136.688538,1251.927124,,,,11.950087,-150.869705,1235.312988,11.235054,-137.122330,1219.789795,,,,3.485142,-146.526749,1196.462402,,,,-5.652205,-134.188309,1206.288086,-7.083704,-143.235031,1192.333740,-3.636349,-147.035858,1179.818604,-6.351973,-140.778198,1153.159668,-17.645153,-137.009491,1191.640625,-19.417379,-138.570465,1181.041626,-21.744940,-126.358780,1204.369751,-28.252176,-125.557854,1192.228638,-32.821445,-118.999168,1180.716187,-31.142094,-116.903465,1204.591309,-37.536217,-107.255516,1198.102905,,,,,,,-37.294067,-99.439964,1214.524414,,,,-34.810722,-103.388733,1233.203613,-17.528742,-130.337082,1216.763184,,,,-27.702127,-115.140038,1249.581787,55.700981,-144.843613,1218.710693,55.734104,-149.947250,1238.831299,55.925274,-145.016235,1257.603271,64.821075,-139.855865,1218.264648,,,,80.804619,-119.995285,1252.806274,83.491989,-121.868797,1226.922607,87.754326,-111.910461,1235.078125,73.024925,-129.291306,1217.600830,85.856995,-118.443298,1217.624878,91.431564,-108.456261,1219.054688,76.924934,-126.782867,1213.303223,86.491310,-121.841415,1207.418335,69.690033,-133.188644,1209.108032,77.086609,-135.341507,1194.710693,83.044250,-131.290314,1184.779419,65.247993,-141.413223,1200.308960,66.476883,-145.936722,1186.871826,54.639744,-139.930344,1208.144287,53.116138,-149.644531,1194.131714,51.575546,-152.190018,1180.245483,52.662132,-147.912537,1155.334961,46.336922,-141.719879,1209.373535,46.238396,-149.571716,1198.019043,,,,37.121178,-140.167435,1221.296997,46.322266,-141.529739,1220.798828,31.945116,-152.513931,1236.255005,22.271458,-151.546738,1258.436035,22.473654,-151.815369,1229.012207,20.354399,-178.836884,1191.214233,21.565569,-164.576645,1166.524658,22.498819,-161.477661,1149.181152,23.980749,-156.908890,1127.515381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
